pdbid,frame,y_true,y_pred
4jsz-crystal,-1.0,-1.0,7.1341157
4jxs-crystal,-1.0,-1.0,4.4386835
4k18-crystal,-1.0,-1.0,9.077766
4k77-crystal,-1.0,-1.0,6.3084083
4kz6-crystal,-1.0,-1.0,4.444398
4kzq-crystal,-1.0,-1.0,6.7148004
4kzu-crystal,-1.0,-1.0,6.160252
4llx-crystal,-1.0,-1.0,4.9238367
4lzs-crystal,-1.0,-1.0,4.6501713
4m0y-crystal,-1.0,-1.0,6.373606
4m0z-crystal,-1.0,-1.0,5.4533124
4mgd-crystal,-1.0,-1.0,5.028025
4mme-crystal,-1.0,-1.0,6.497045
4ogj-crystal,-1.0,-1.0,6.9388523
4owm-crystal,-1.0,-1.0,4.233631
4pcs-crystal,-1.0,-1.0,6.4552956
4qac-crystal,-1.0,-1.0,9.412696
4qd6-crystal,-1.0,-1.0,6.725671
4rfm-crystal,-1.0,-1.0,7.9532757
4tmn-crystal,-1.0,-1.0,7.3345814
4twp-crystal,-1.0,-1.0,8.065958
4ty7-crystal,-1.0,-1.0,6.774394
4u4s-crystal,-1.0,-1.0,4.430517
4w9c-crystal,-1.0,-1.0,4.758942
4w9h-crystal,-1.0,-1.0,6.221324
4w9i-crystal,-1.0,-1.0,6.028088
4w9l-crystal,-1.0,-1.0,6.3172817
4wiv-crystal,-1.0,-1.0,5.602606
4x6p-crystal,-1.0,-1.0,6.9231586
5a7b-crystal,-1.0,-1.0,4.583456
5aba-crystal,-1.0,-1.0,3.253883
5c28-crystal,-1.0,-1.0,4.2314644
5c2h-crystal,-1.0,-1.0,7.142657
5dwr-crystal,-1.0,-1.0,8.076647
5tmn-crystal,-1.0,-1.0,5.436967
1a30-boltz,-1.0,4.3,7.4892282
1a30-rosetta-0027,-1.0,4.3,4.9833
1a30-rosetta-0035,-1.0,4.3,6.0559487
1a30-rosetta-0037,-1.0,4.3,4.264799
1a30-rosetta-0059,-1.0,4.3,4.4831142
1a30-rosetta-0080,-1.0,4.3,6.098768
1a30-rosetta-0081,-1.0,4.3,6.548338
1a30-rosetta-0094,-1.0,4.3,5.8267593
1a30-rosetta-0104,-1.0,4.3,7.57015
1a30-rosetta-0108,-1.0,4.3,6.293729
1a30-rosetta-0119,-1.0,4.3,5.332863
1a30-rosetta-0135,-1.0,4.3,6.522713
1a30-rosetta-0137,-1.0,4.3,6.076592
1a30-rosetta-0144,-1.0,4.3,4.484395
1a30-rosetta-0145,-1.0,4.3,6.7219315
1a30-rosetta-0171,-1.0,4.3,4.2908397
1a30-rosetta-0193,-1.0,4.3,4.6630783
1a30-rosetta-0196,-1.0,4.3,5.8371882
1a30-rosetta-0206,-1.0,4.3,6.5736666
1a30-rosetta-0214,-1.0,4.3,4.6122127
1a30-rosetta-0227,-1.0,4.3,5.7447033
1a30-rosetta-0235,-1.0,4.3,5.605316
1a30-rosetta-0243,-1.0,4.3,4.2864656
1a30-rosetta-0248,-1.0,4.3,5.757056
1a30-rosetta-0265,-1.0,4.3,7.103403
1a30-rosetta-0280,-1.0,4.3,6.0112147
1a30-rosetta-0284,-1.0,4.3,6.1587763
1a30-rosetta-0289,-1.0,4.3,6.313605
1a30-rosetta-0291,-1.0,4.3,4.066247
1a30-rosetta-0293,-1.0,4.3,5.7306614
1a30-rosetta-0296,-1.0,4.3,3.8284538
1a30-rosetta-0306,-1.0,4.3,6.289467
1a30-rosetta-0311,-1.0,4.3,6.034363
1a30-rosetta-0316,-1.0,4.3,5.064911
1a30-rosetta-0325,-1.0,4.3,4.775384
1a30-rosetta-0329,-1.0,4.3,5.9822855
1a30-rosetta-0331,-1.0,4.3,4.3456287
1a30-rosetta-0335,-1.0,4.3,5.7280784
1a30-rosetta-0381,-1.0,4.3,6.8220916
1a30-rosetta-0384,-1.0,4.3,5.1811285
1a30-rosetta-0386,-1.0,4.3,4.218802
1a30-rosetta-0402,-1.0,4.3,5.6420293
1a30-rosetta-0427,-1.0,4.3,5.665427
1a30-rosetta-0433,-1.0,4.3,3.8669446
1a30-rosetta-0450,-1.0,4.3,6.6230254
1a30-rosetta-0481,-1.0,4.3,5.698296
1a30-rosetta-0488,-1.0,4.3,6.04096
1a30-rosetta-0489,-1.0,4.3,4.8897643
1a30-rosetta-0496,-1.0,4.3,4.580092
1a30-rosetta-0500,-1.0,4.3,5.2947407
1a30-rosetta-0525,-1.0,4.3,5.0361414
1a30-rosetta-0532,-1.0,4.3,6.617414
1a30-rosetta-0554,-1.0,4.3,6.7913074
1a30-rosetta-0557,-1.0,4.3,5.205613
1a30-rosetta-0559,-1.0,4.3,3.5442314
1a30-rosetta-0567,-1.0,4.3,5.1820087
1a30-rosetta-0577,-1.0,4.3,5.6740932
1a30-rosetta-0583,-1.0,4.3,6.3071647
1a30-rosetta-0594,-1.0,4.3,5.4022703
1a30-rosetta-0601,-1.0,4.3,6.9127855
1a30-rosetta-0602,-1.0,4.3,6.35498
1a30-rosetta-0605,-1.0,4.3,4.3409443
1a30-rosetta-0614,-1.0,4.3,5.1606274
1a30-rosetta-0624,-1.0,4.3,3.9901974
1a30-rosetta-0653,-1.0,4.3,6.2427406
1a30-rosetta-0661,-1.0,4.3,5.433808
1a30-rosetta-0663,-1.0,4.3,6.362884
1a30-rosetta-0678,-1.0,4.3,6.6089344
1a30-rosetta-0682,-1.0,4.3,5.398257
1a30-rosetta-0684,-1.0,4.3,5.610221
1a30-rosetta-0694,-1.0,4.3,7.118973
1a30-rosetta-0697,-1.0,4.3,4.8652534
1a30-rosetta-0709,-1.0,4.3,7.3080425
1a30-rosetta-0714,-1.0,4.3,3.7482429
1a30-rosetta-0722,-1.0,4.3,5.393504
1a30-rosetta-0733,-1.0,4.3,6.4768496
1a30-rosetta-0736,-1.0,4.3,4.078805
1a30-rosetta-0742,-1.0,4.3,4.5057573
1a30-rosetta-0773,-1.0,4.3,6.3517056
1a30-rosetta-0778,-1.0,4.3,3.8500907
1a30-rosetta-0779,-1.0,4.3,5.5709095
1a30-rosetta-0791,-1.0,4.3,3.516846
1a30-rosetta-0808,-1.0,4.3,6.512929
1a30-rosetta-0821,-1.0,4.3,4.7901497
1a30-rosetta-0822,-1.0,4.3,5.275601
1a30-rosetta-0832,-1.0,4.3,4.139715
1a30-rosetta-0845,-1.0,4.3,4.2053204
1a30-rosetta-0860,-1.0,4.3,5.6641874
1a30-rosetta-0882,-1.0,4.3,4.154039
1a30-rosetta-0884,-1.0,4.3,4.8862414
1a30-rosetta-0896,-1.0,4.3,5.5606294
1a30-rosetta-0907,-1.0,4.3,4.906676
1a30-rosetta-0911,-1.0,4.3,6.326674
1a30-rosetta-0927,-1.0,4.3,6.1246705
1a30-rosetta-0936,-1.0,4.3,5.900389
1a30-rosetta-0937,-1.0,4.3,7.0909805
1a30-rosetta-0943,-1.0,4.3,4.3905487
1a30-rosetta-0955,-1.0,4.3,5.9932003
1a30-rosetta-0957,-1.0,4.3,5.214251
1a30-rosetta-0986,-1.0,4.3,6.35889
1a30-rosetta-0988,-1.0,4.3,4.228169
1bcu-boltz,-1.0,3.28,6.5679574
1bcu-gnina-0001,-1.0,3.28,5.9365797
1bcu-gnina-0002,-1.0,3.28,6.178447
1bcu-gnina-0003,-1.0,3.28,7.551213
1bcu-gnina-0004,-1.0,3.28,7.588543
1bcu-gnina-0005,-1.0,3.28,6.4902096
1bcu-gnina-0006,-1.0,3.28,7.5577035
1bcu-gnina-0007,-1.0,3.28,6.6254416
1bcu-gnina-0008,-1.0,3.28,7.7125983
1bcu-gnina-0009,-1.0,3.28,7.652382
1bcu-gnina-0010,-1.0,3.28,6.177169
1bcu-gnina-0011,-1.0,3.28,7.6201806
1bcu-gnina-0012,-1.0,3.28,6.4363847
1bcu-gnina-0013,-1.0,3.28,7.5784087
1bcu-gnina-0014,-1.0,3.28,8.047513
1bcu-gnina-0015,-1.0,3.28,7.8697796
1bcu-gnina-0016,-1.0,3.28,6.6320415
1bcu-gnina-0017,-1.0,3.28,7.5783615
1bcu-gnina-0018,-1.0,3.28,6.4277835
1bcu-gnina-0019,-1.0,3.28,7.6768007
1bcu-gnina-0020,-1.0,3.28,7.2089
1bcu-gnina-0021,-1.0,3.28,7.474446
1bcu-gnina-0022,-1.0,3.28,7.682978
1bcu-gnina-0023,-1.0,3.28,7.715282
1bcu-gnina-0024,-1.0,3.28,5.2275715
1bcu-gnina-0025,-1.0,3.28,7.8562756
1bcu-gnina-0026,-1.0,3.28,5.385401
1bcu-gnina-0027,-1.0,3.28,6.7979617
1bcu-gnina-0028,-1.0,3.28,7.755001
1bcu-gnina-0029,-1.0,3.28,7.7974844
1bcu-gnina-0030,-1.0,3.28,7.216256
1bcu-gnina-0031,-1.0,3.28,7.955502
1bcu-gnina-0032,-1.0,3.28,7.2592235
1bcu-gnina-0033,-1.0,3.28,6.2122674
1bcu-gnina-0034,-1.0,3.28,7.843493
1bcu-gnina-0035,-1.0,3.28,8.0648365
1bcu-gnina-0036,-1.0,3.28,7.7004952
1bcu-gnina-0037,-1.0,3.28,6.878522
1bcu-gnina-0038,-1.0,3.28,7.0423737
1bcu-gnina-0039,-1.0,3.28,6.7026577
1bcu-gnina-0040,-1.0,3.28,7.420973
1bcu-gnina-0041,-1.0,3.28,7.978972
1bcu-gnina-0042,-1.0,3.28,7.638509
1bcu-gnina-0043,-1.0,3.28,6.6907296
1bcu-gnina-0044,-1.0,3.28,7.9725757
1bcu-gnina-0045,-1.0,3.28,7.7711763
1bcu-gnina-0046,-1.0,3.28,6.19098
1bcu-gnina-0047,-1.0,3.28,6.1992683
1bcu-gnina-0048,-1.0,3.28,6.648104
1bcu-gnina-0049,-1.0,3.28,5.939751
1bcu-gnina-0050,-1.0,3.28,6.661392
1bcu-gnina-0051,-1.0,3.28,7.573923
1bcu-gnina-0052,-1.0,3.28,7.369862
1bcu-gnina-0053,-1.0,3.28,6.91923
1bcu-gnina-0054,-1.0,3.28,6.9086046
1bcu-gnina-0055,-1.0,3.28,7.612272
1bcu-gnina-0056,-1.0,3.28,6.4176407
1bcu-gnina-0057,-1.0,3.28,7.1893134
1bcu-gnina-0058,-1.0,3.28,6.698079
1bcu-gnina-0059,-1.0,3.28,7.4764333
1bcu-gnina-0060,-1.0,3.28,7.5518804
1bcu-gnina-0061,-1.0,3.28,7.840036
1bcu-gnina-0062,-1.0,3.28,6.7526
1bcu-gnina-0063,-1.0,3.28,7.7353253
1bcu-gnina-0064,-1.0,3.28,7.0534163
1bcu-gnina-0065,-1.0,3.28,4.8713694
1bcu-gnina-0066,-1.0,3.28,6.888216
1bcu-gnina-0067,-1.0,3.28,6.0846624
1bcu-gnina-0068,-1.0,3.28,7.0127897
1bcu-gnina-0069,-1.0,3.28,6.66223
1bcu-gnina-0070,-1.0,3.28,7.300731
1bcu-gnina-0071,-1.0,3.28,6.860324
1bcu-gnina-0072,-1.0,3.28,6.908596
1bcu-gnina-0073,-1.0,3.28,7.1679726
1bcu-gnina-0074,-1.0,3.28,6.327168
1bcu-gnina-0075,-1.0,3.28,6.8694544
1bcu-gnina-0076,-1.0,3.28,7.2309265
1bcu-gnina-0077,-1.0,3.28,7.4896793
1bcu-gnina-0078,-1.0,3.28,7.622797
1bcu-gnina-0079,-1.0,3.28,7.928437
1bcu-gnina-0080,-1.0,3.28,6.8166814
1bcu-gnina-0081,-1.0,3.28,6.8445387
1bcu-gnina-0082,-1.0,3.28,6.442469
1bcu-gnina-0083,-1.0,3.28,6.172852
1bcu-gnina-0084,-1.0,3.28,6.8861036
1bcu-gnina-0085,-1.0,3.28,7.620248
1bcu-gnina-0086,-1.0,3.28,8.057679
1bcu-gnina-0087,-1.0,3.28,7.013506
1bcu-gnina-0088,-1.0,3.28,6.081811
1bcu-gnina-0089,-1.0,3.28,6.9362946
1bcu-gnina-0090,-1.0,3.28,7.2610373
1bcu-gnina-0091,-1.0,3.28,7.298952
1bcu-gnina-0092,-1.0,3.28,7.579337
1bcu-gnina-0093,-1.0,3.28,7.053152
1bcu-gnina-0094,-1.0,3.28,7.5233707
1bcu-gnina-0095,-1.0,3.28,7.8967123
1bcu-gnina-0096,-1.0,3.28,7.59945
1bcu-gnina-0097,-1.0,3.28,6.0621786
1bcu-gnina-0098,-1.0,3.28,6.2470293
1bcu-gnina-0099,-1.0,3.28,6.329728
1bcu-gnina-0100,-1.0,3.28,7.4513726
1bcu-rosetta-0006,-1.0,3.28,6.1836343
1bcu-rosetta-0015,-1.0,3.28,4.6959515
1bcu-rosetta-0020,-1.0,3.28,4.69491
1bcu-rosetta-0024,-1.0,3.28,5.967015
1bcu-rosetta-0050,-1.0,3.28,5.1637673
1bcu-rosetta-0055,-1.0,3.28,4.87262
1bcu-rosetta-0057,-1.0,3.28,5.072473
1bcu-rosetta-0059,-1.0,3.28,5.438423
1bcu-rosetta-0066,-1.0,3.28,4.809721
1bcu-rosetta-0070,-1.0,3.28,4.451477
1bcu-rosetta-0078,-1.0,3.28,5.3295593
1bcu-rosetta-0081,-1.0,3.28,4.613711
1bcu-rosetta-0094,-1.0,3.28,4.528532
1bcu-rosetta-0110,-1.0,3.28,5.1429377
1bcu-rosetta-0112,-1.0,3.28,5.960671
1bcu-rosetta-0122,-1.0,3.28,5.5935254
1bcu-rosetta-0124,-1.0,3.28,3.7056878
1bcu-rosetta-0125,-1.0,3.28,5.594081
1bcu-rosetta-0128,-1.0,3.28,5.4479775
1bcu-rosetta-0130,-1.0,3.28,5.0405483
1bcu-rosetta-0150,-1.0,3.28,5.375177
1bcu-rosetta-0167,-1.0,3.28,3.5366037
1bcu-rosetta-0169,-1.0,3.28,5.147882
1bcu-rosetta-0170,-1.0,3.28,5.1405826
1bcu-rosetta-0172,-1.0,3.28,5.276982
1bcu-rosetta-0181,-1.0,3.28,5.535731
1bcu-rosetta-0201,-1.0,3.28,5.076077
1bcu-rosetta-0213,-1.0,3.28,5.2788806
1bcu-rosetta-0218,-1.0,3.28,5.8309183
1bcu-rosetta-0219,-1.0,3.28,5.329137
1bcu-rosetta-0234,-1.0,3.28,4.361848
1bcu-rosetta-0255,-1.0,3.28,4.7534604
1bcu-rosetta-0282,-1.0,3.28,4.9346714
1bcu-rosetta-0285,-1.0,3.28,3.6593094
1bcu-rosetta-0296,-1.0,3.28,5.231805
1bcu-rosetta-0317,-1.0,3.28,4.1692734
1bcu-rosetta-0319,-1.0,3.28,5.214771
1bcu-rosetta-0326,-1.0,3.28,4.2267075
1bcu-rosetta-0327,-1.0,3.28,5.359904
1bcu-rosetta-0363,-1.0,3.28,5.349122
1bcu-rosetta-0371,-1.0,3.28,5.1565514
1bcu-rosetta-0378,-1.0,3.28,5.7140365
1bcu-rosetta-0403,-1.0,3.28,5.714117
1bcu-rosetta-0406,-1.0,3.28,5.1946263
1bcu-rosetta-0416,-1.0,3.28,4.4424367
1bcu-rosetta-0435,-1.0,3.28,5.3599777
1bcu-rosetta-0447,-1.0,3.28,4.8130417
1bcu-rosetta-0456,-1.0,3.28,6.024827
1bcu-rosetta-0468,-1.0,3.28,5.1319056
1bcu-rosetta-0469,-1.0,3.28,6.1399035
1bcu-rosetta-0481,-1.0,3.28,4.8487005
1bcu-rosetta-0489,-1.0,3.28,4.69168
1bcu-rosetta-0495,-1.0,3.28,5.0786405
1bcu-rosetta-0499,-1.0,3.28,5.200796
1bcu-rosetta-0502,-1.0,3.28,6.190168
1bcu-rosetta-0520,-1.0,3.28,4.385044
1bcu-rosetta-0529,-1.0,3.28,4.42057
1bcu-rosetta-0538,-1.0,3.28,5.1460567
1bcu-rosetta-0547,-1.0,3.28,5.4526424
1bcu-rosetta-0559,-1.0,3.28,5.355904
1bcu-rosetta-0565,-1.0,3.28,4.79836
1bcu-rosetta-0574,-1.0,3.28,5.1253457
1bcu-rosetta-0593,-1.0,3.28,4.817154
