name,prediction,t_total_s,model
1p1n-gnina-0076,4.053,3.980689,OnionNet-2
1p1n-gnina-0021,5.457000000000001,3.873646,OnionNet-2
1p1n-gnina-0065,4.204,3.948643,OnionNet-2
1p1n-gnina-0035,4.044,4.01895,OnionNet-2
1p1n-gnina-0046,3.968,3.962733,OnionNet-2
1p1n-gnina-0031,5.376,4.059215,OnionNet-2
1p1n-gnina-0038,3.949,4.087358,OnionNet-2
1p1n-gnina-0099,4.593,4.101039,OnionNet-2
1p1n-gnina-0086,5.045,3.954647,OnionNet-2
1p1n-gnina-0082,3.8989999999999996,3.897411,OnionNet-2
1p1n-gnina-0039,5.079,4.248055,OnionNet-2
1p1n-gnina-0004,5.547999999999999,4.243078,OnionNet-2
1p1n-rosetta-0853,5.912999999999999,4.148371,OnionNet-2
1p1n-rosetta-0241,5.68,4.304833,OnionNet-2
1p1n-rosetta-0236,5.8839999999999995,4.058169,OnionNet-2
1p1n-rosetta-0862,6.2410000000000005,4.167521,OnionNet-2
1p1n-rosetta-0098,5.524,4.048566,OnionNet-2
1p1n-rosetta-0199,6.393,4.112919,OnionNet-2
1p1n-rosetta-0819,5.7620000000000005,4.081751,OnionNet-2
1p1n-rosetta-0892,5.707999999999999,4.106409,OnionNet-2
1p1n-rosetta-0341,5.968999999999999,4.178117,OnionNet-2
1p1n-rosetta-0828,5.497000000000001,3.994116,OnionNet-2
1p1n-rosetta-0442,5.8870000000000005,4.181594,OnionNet-2
1p1n-rosetta-0021,5.667000000000001,4.199718,OnionNet-2
1p1n-rosetta-0931,5.872999999999999,4.111399,OnionNet-2
1p1n-rosetta-0891,6.084,4.298893,OnionNet-2
1p1n-rosetta-0684,6.066,4.123942,OnionNet-2
1p1n-rosetta-0019,5.779,4.016699,OnionNet-2
1p1n-rosetta-0312,5.575,4.163217,OnionNet-2
1p1n-rosetta-0068,6.039,4.141278,OnionNet-2
1p1n-rosetta-0230,6.15,4.001839,OnionNet-2
1p1n-rosetta-0918,4.917,5.098073,OnionNet-2
1p1n-rosetta-0092,5.724,4.132174,OnionNet-2
1p1n-rosetta-0101,5.797999999999999,4.039943,OnionNet-2
1p1n-rosetta-0829,6.053999999999999,4.055193,OnionNet-2
1p1n-rosetta-0587,5.9910000000000005,4.076244,OnionNet-2
1p1n-rosetta-0023,5.9910000000000005,4.142399,OnionNet-2
1p1n-rosetta-0038,5.886,4.081246,OnionNet-2
1p1n-rosetta-0854,6.059,4.199772,OnionNet-2
1p1n-rosetta-0572,4.899,4.123165,OnionNet-2
1p1n-rosetta-0907,5.24,4.104972,OnionNet-2
1p1n-rosetta-0382,5.595,4.084012,OnionNet-2
1p1n-rosetta-0191,5.465,4.083944,OnionNet-2
1p1n-rosetta-0287,5.71,3.965012,OnionNet-2
1p1n-rosetta-0409,5.16,4.163239,OnionNet-2
1p1n-rosetta-0326,5.807,4.193988,OnionNet-2
1p1n-rosetta-0765,5.367999999999999,4.197441,OnionNet-2
1p1n-rosetta-0329,5.992999999999999,4.207045,OnionNet-2
1p1n-rosetta-0561,5.6160000000000005,4.296307,OnionNet-2
1p1n-rosetta-0584,5.728,4.174295,OnionNet-2
1p1n-rosetta-0438,5.52,4.119576,OnionNet-2
1p1n-rosetta-0424,6.261,4.15115,OnionNet-2
1p1n-rosetta-0363,5.505,4.070896,OnionNet-2
1p1n-rosetta-0586,5.29,4.07808,OnionNet-2
1p1n-rosetta-0314,6.1739999999999995,4.268016,OnionNet-2
1p1n-rosetta-0277,6.1,4.226145,OnionNet-2
1p1n-rosetta-0313,5.5920000000000005,4.290792,OnionNet-2
1p1n-rosetta-0161,6.178999999999999,3.893218,OnionNet-2
1p1n-rosetta-0200,5.869,4.036143,OnionNet-2
1p1n-rosetta-0253,5.653,4.034074,OnionNet-2
1p1n-rosetta-0414,5.145,3.943954,OnionNet-2
1p1n-rosetta-0366,6.3229999999999995,4.185738,OnionNet-2
1p1n-rosetta-0501,5.915,4.009406,OnionNet-2
1p1n-rosetta-0623,5.814,4.049636,OnionNet-2
1p1n-rosetta-0325,5.465,4.185336,OnionNet-2
1p1n-rosetta-0599,6.21,4.075383,OnionNet-2
1p1n-rosetta-0639,5.682,4.182625,OnionNet-2
1p1n-rosetta-0614,5.399,3.907254,OnionNet-2
1p1n-rosetta-0941,6.182,3.950281,OnionNet-2
1p1n-rosetta-0777,5.626,4.154594,OnionNet-2
1p1n-rosetta-0981,6.035,4.123387,OnionNet-2
1p1n-rosetta-0271,6.1,4.112041,OnionNet-2
1p1n-rosetta-0141,5.821000000000001,4.180189,OnionNet-2
1p1n-rosetta-0129,6.015,4.239368,OnionNet-2
1p1n-rosetta-0500,5.77,4.081715,OnionNet-2
1p1n-rosetta-0309,5.635,5.142632,OnionNet-2
1p1n-rosetta-0015,6.111000000000001,4.078913,OnionNet-2
1p1n-rosetta-0693,5.489,4.055563,OnionNet-2
1p1n-rosetta-0498,5.513,4.227501,OnionNet-2
1p1n-rosetta-0399,5.825,4.100844,OnionNet-2
1p1n-rosetta-0154,5.957000000000001,4.213973,OnionNet-2
1p1n-rosetta-0746,6.2620000000000005,4.157431,OnionNet-2
1p1n-rosetta-0827,5.7829999999999995,4.184536,OnionNet-2
1p1n-rosetta-0783,5.358,4.029316,OnionNet-2
1p1n-rosetta-0081,6.16,4.168124,OnionNet-2
1p1n-rosetta-0163,6.242000000000001,4.230142,OnionNet-2
1p1n-rosetta-0865,5.919,4.295282,OnionNet-2
1p1n-rosetta-0511,6.309,4.158087,OnionNet-2
1p1n-rosetta-0652,5.093999999999999,4.894316,OnionNet-2
1p1n-rosetta-0170,5.877000000000001,4.144453,OnionNet-2
1p1n-rosetta-0711,5.77,3.988705,OnionNet-2
1p1n-rosetta-0658,5.117,4.231926,OnionNet-2
1p1n-rosetta-0503,5.587999999999999,4.218807,OnionNet-2
1p1n-rosetta-0328,6.016,4.139963,OnionNet-2
1p1n-rosetta-0047,5.025,4.136993,OnionNet-2
1p1n-rosetta-0661,5.812,4.379938,OnionNet-2
1p1n-rosetta-0431,6.093999999999999,4.086158,OnionNet-2
1p1n-rosetta-0152,5.598,4.089228,OnionNet-2
1p1n-rosetta-0954,5.382000000000001,3.907681,OnionNet-2
1p1n-rosetta-0945,6.004,4.11851,OnionNet-2
1p1n-rosetta-0898,6.3660000000000005,4.104393,OnionNet-2
1p1n-rosetta-0383,5.643,4.064908,OnionNet-2
1p1n-rosetta-0749,5.355,3.896788,OnionNet-2
1p1n-rosetta-0467,5.676,4.357945,OnionNet-2
1p1n-rosetta-0202,5.9910000000000005,4.15829,OnionNet-2
1p1n-rosetta-0660,5.468999999999999,3.984248,OnionNet-2
1p1n-rosetta-0162,5.607,4.066965,OnionNet-2
1p1n-rosetta-0481,6.042999999999999,4.156716,OnionNet-2
1p1n-rosetta-0107,6.218,4.07304,OnionNet-2
1p1n-rosetta-0294,6.044,4.08035,OnionNet-2
1p1n-rosetta-0034,5.707999999999999,4.054141,OnionNet-2
1p1n-rosetta-0097,5.012,3.992014,OnionNet-2
1p1n-boltz2,5.917999999999999,4.048489,OnionNet-2
3rr4-crystal,6.474,4.538644,OnionNet-2
3rr4-gnina-0035,5.223,4.222648,OnionNet-2
3rr4-gnina-0079,5.336,4.200439,OnionNet-2
3rr4-gnina-0003,6.577000000000001,4.06624,OnionNet-2
3rr4-gnina-0064,4.974,4.028923,OnionNet-2
3rr4-gnina-0085,4.4830000000000005,3.995224,OnionNet-2
3rr4-gnina-0075,4.435,4.247721,OnionNet-2
3rr4-gnina-0010,4.697,4.092558,OnionNet-2
3rr4-gnina-0039,4.623,4.162222,OnionNet-2
3rr4-gnina-0031,5.224,4.164952,OnionNet-2
3rr4-gnina-0029,4.909,4.085969,OnionNet-2
3rr4-gnina-0057,5.671,4.075406,OnionNet-2
3rr4-gnina-0090,4.102,4.003435,OnionNet-2
3rr4-gnina-0019,4.663,4.060887,OnionNet-2
3rr4-gnina-0030,4.697,4.004639,OnionNet-2
3rr4-gnina-0056,5.58,4.067958,OnionNet-2
3rr4-gnina-0046,4.505,4.067132,OnionNet-2
3rr4-gnina-0022,4.399,4.015085,OnionNet-2
3rr4-gnina-0002,6.102,4.018018,OnionNet-2
3rr4-gnina-0006,6.077999999999999,3.980781,OnionNet-2
3rr4-gnina-0009,4.18,4.0634,OnionNet-2
3rr4-gnina-0049,4.7219999999999995,4.045482,OnionNet-2
3rr4-gnina-0027,4.426,4.119022,OnionNet-2
3rr4-gnina-0012,5.724,4.186192,OnionNet-2
3rr4-gnina-0076,4.075,4.336801,OnionNet-2
3rr4-gnina-0028,4.632,4.076356,OnionNet-2
3rr4-gnina-0017,5.122000000000001,3.914149,OnionNet-2
3rr4-gnina-0048,4.68,4.046111,OnionNet-2
3rr4-gnina-0013,4.236000000000001,4.147095,OnionNet-2
3rr4-gnina-0044,4.881,4.103482,OnionNet-2
3rr4-gnina-0084,4.806,4.137844,OnionNet-2
3rr4-gnina-0087,5.657,4.081242,OnionNet-2
3rr4-gnina-0086,5.978,4.049793,OnionNet-2
3rr4-gnina-0100,4.79,4.141163,OnionNet-2
3rr4-gnina-0047,4.681,3.93656,OnionNet-2
3rr4-gnina-0040,4.047,4.043243,OnionNet-2
3rr4-gnina-0093,4.957,3.983128,OnionNet-2
3rr4-gnina-0043,4.997,3.911739,OnionNet-2
3rr4-gnina-0032,4.395,4.084706,OnionNet-2
3rr4-gnina-0097,4.761,4.052159,OnionNet-2
3rr4-gnina-0036,5.015,4.077056,OnionNet-2
3rr4-gnina-0033,4.263999999999999,4.034963,OnionNet-2
3rr4-gnina-0092,4.658,4.133665,OnionNet-2
3rr4-gnina-0055,4.638,4.132807,OnionNet-2
3rr4-gnina-0037,4.777,4.024568,OnionNet-2
3rr4-gnina-0021,4.533,3.99847,OnionNet-2
3rr4-gnina-0018,3.8080000000000003,3.973154,OnionNet-2
3rr4-gnina-0011,4.114,4.045638,OnionNet-2
3rr4-gnina-0042,5.244,4.159088,OnionNet-2
3rr4-gnina-0070,4.038,4.100107,OnionNet-2
3rr4-gnina-0074,3.471,4.108654,OnionNet-2
3rr4-gnina-0063,5.205,4.061826,OnionNet-2
3rr4-gnina-0026,5.189,3.927831,OnionNet-2
3rr4-gnina-0058,5.4910000000000005,3.952193,OnionNet-2
3rr4-gnina-0089,4.243,4.013183,OnionNet-2
3rr4-gnina-0014,4.754,3.887042,OnionNet-2
3rr4-gnina-0095,5.337000000000001,4.132366,OnionNet-2
3rr4-gnina-0023,4.02,4.019418,OnionNet-2
3rr4-gnina-0067,4.856,4.066057,OnionNet-2
3rr4-gnina-0025,4.681,4.785829,OnionNet-2
3rr4-gnina-0078,4.821000000000001,4.089328,OnionNet-2
3rr4-gnina-0062,3.932,4.032417,OnionNet-2
3rr4-gnina-0020,4.729,4.088752,OnionNet-2
3rr4-gnina-0073,3.813,4.080323,OnionNet-2
3rr4-gnina-0066,4.849,4.185481,OnionNet-2
3rr4-gnina-0005,5.7589999999999995,4.19584,OnionNet-2
3rr4-gnina-0053,5.736000000000001,4.033133,OnionNet-2
3rr4-gnina-0024,4.5169999999999995,4.135295,OnionNet-2
3rr4-gnina-0034,4.187,4.117271,OnionNet-2
3rr4-gnina-0065,5.577000000000001,3.985831,OnionNet-2
3rr4-gnina-0080,4.46,4.086523,OnionNet-2
3rr4-gnina-0077,6.072,4.152167,OnionNet-2
3rr4-gnina-0041,4.292,4.068816,OnionNet-2
3rr4-gnina-0038,4.905,4.046022,OnionNet-2
3rr4-gnina-0051,5.609,4.210745,OnionNet-2
3rr4-gnina-0094,4.569,4.001882,OnionNet-2
3rr4-gnina-0088,4.989,4.051512,OnionNet-2
3rr4-gnina-0004,6.057,4.002804,OnionNet-2
3rr4-gnina-0001,6.74,4.109858,OnionNet-2
3rr4-gnina-0052,4.43,4.068421,OnionNet-2
3rr4-gnina-0083,3.7319999999999998,4.095729,OnionNet-2
3rr4-gnina-0060,5.032,4.440035,OnionNet-2
3rr4-gnina-0050,4.63,4.078673,OnionNet-2
3rr4-gnina-0099,5.229,4.260332,OnionNet-2
3rr4-gnina-0071,4.266,4.053059,OnionNet-2
3rr4-gnina-0082,4.018,4.010684,OnionNet-2
3rr4-gnina-0081,5.107,4.139507,OnionNet-2
3rr4-gnina-0054,5.68,3.852353,OnionNet-2
3rr4-gnina-0098,4.55,4.012675,OnionNet-2
3rr4-gnina-0015,4.65,4.995724,OnionNet-2
3rr4-gnina-0061,4.709,4.002101,OnionNet-2
3rr4-gnina-0096,4.265,3.991446,OnionNet-2
3rr4-gnina-0016,5.624,3.921008,OnionNet-2
3rr4-gnina-0007,4.748,4.004141,OnionNet-2
3rr4-gnina-0068,5.124,3.933092,OnionNet-2
3rr4-gnina-0072,5.078,3.995358,OnionNet-2
3rr4-gnina-0008,4.87,3.998723,OnionNet-2
3rr4-gnina-0091,5.209,4.002716,OnionNet-2
3rr4-gnina-0059,5.961,4.085223,OnionNet-2
3rr4-gnina-0045,5.787000000000001,4.01395,OnionNet-2
3rr4-gnina-0069,4.556,4.101263,OnionNet-2
3rr4-rosetta-0462,5.112,4.227668,OnionNet-2
3rr4-rosetta-0005,6.399,4.411225,OnionNet-2
3rr4-rosetta-0533,5.084,4.455912,OnionNet-2
3rr4-rosetta-0287,5.672999999999999,4.236094,OnionNet-2
3rr4-rosetta-0363,5.52,4.329124,OnionNet-2
3rr4-rosetta-0537,5.945,4.347304,OnionNet-2
3rr4-rosetta-0563,5.492999999999999,4.309962,OnionNet-2
3rr4-rosetta-0208,5.689,4.375541,OnionNet-2
3rr4-rosetta-0844,6.044,4.278124,OnionNet-2
3rr4-rosetta-0457,5.36,4.340294,OnionNet-2
3rr4-rosetta-0672,5.271,4.247661,OnionNet-2
3rr4-rosetta-0107,5.119,4.282083,OnionNet-2
3rr4-rosetta-0351,5.388,4.166899,OnionNet-2
3rr4-rosetta-0468,5.111000000000001,4.156909,OnionNet-2
3rr4-rosetta-0551,5.997000000000001,4.241009,OnionNet-2
3rr4-rosetta-0835,5.521,4.315521,OnionNet-2
3rr4-rosetta-0910,5.471,4.390639,OnionNet-2
3rr4-rosetta-0942,5.278,4.322906,OnionNet-2
3rr4-rosetta-0893,5.55,4.51763,OnionNet-2
3rr4-rosetta-0955,5.428999999999999,4.408207,OnionNet-2
3rr4-rosetta-0290,5.223,4.331475,OnionNet-2
3rr4-rosetta-0235,5.888,4.225555,OnionNet-2
3rr4-rosetta-0821,5.2170000000000005,4.179106,OnionNet-2
3rr4-rosetta-0857,5.724,4.091741,OnionNet-2
3rr4-rosetta-0569,6.3260000000000005,4.205196,OnionNet-2
3rr4-rosetta-0791,5.527,4.211683,OnionNet-2
3rr4-rosetta-0132,6.075,4.247731,OnionNet-2
3rr4-rosetta-0411,5.593,4.232186,OnionNet-2
3rr4-rosetta-0407,3.905,4.242933,OnionNet-2
3rr4-rosetta-0304,5.747999999999999,4.144191,OnionNet-2
3rr4-rosetta-0066,5.551,4.218541,OnionNet-2
3rr4-rosetta-0632,5.619,5.079563,OnionNet-2
3rr4-rosetta-0093,5.649,4.170622,OnionNet-2
3rr4-rosetta-0272,5.614,4.251054,OnionNet-2
3rr4-rosetta-0762,5.406000000000001,4.065758,OnionNet-2
3rr4-rosetta-0661,5.06,4.368167,OnionNet-2
3rr4-rosetta-0691,5.294,4.136932,OnionNet-2
3rr4-rosetta-0532,5.558,4.146787,OnionNet-2
3rr4-rosetta-0711,5.577999999999999,4.325333,OnionNet-2
3rr4-rosetta-0105,5.392,4.352529,OnionNet-2
3rr4-rosetta-0410,5.337999999999999,4.132958,OnionNet-2
3rr4-rosetta-0141,5.653,4.202933,OnionNet-2
3rr4-rosetta-0758,5.273,4.16251,OnionNet-2
3rr4-rosetta-0017,5.468,4.310992,OnionNet-2
3rr4-rosetta-0042,5.707999999999999,4.359575,OnionNet-2
3rr4-rosetta-0888,5.531000000000001,5.491377,OnionNet-2
3rr4-rosetta-0101,6.121,4.14515,OnionNet-2
3rr4-rosetta-0071,6.308,4.311059,OnionNet-2
3rr4-rosetta-0130,4.003,4.112603,OnionNet-2
3rr4-rosetta-0291,5.256,4.236951,OnionNet-2
3rr4-rosetta-0088,5.132999999999999,4.108505,OnionNet-2
3rr4-rosetta-0378,5.3629999999999995,4.301719,OnionNet-2
3rr4-rosetta-0109,5.515,4.255928,OnionNet-2
3rr4-rosetta-0402,5.186,4.284491,OnionNet-2
3rr4-rosetta-0576,5.227,4.230191,OnionNet-2
3rr4-rosetta-0683,5.132999999999999,4.174671,OnionNet-2
3rr4-rosetta-0305,5.335,4.185372,OnionNet-2
3rr4-rosetta-0615,5.468,4.239247,OnionNet-2
3rr4-rosetta-0030,5.733,4.33137,OnionNet-2
3rr4-rosetta-0890,5.152,5.1224,OnionNet-2
3rr4-rosetta-0707,5.78,4.170258,OnionNet-2
3rr4-rosetta-0768,5.785,4.343823,OnionNet-2
3rr4-rosetta-0507,5.705,4.124098,OnionNet-2
3rr4-rosetta-0143,5.119,4.25429,OnionNet-2
3rr4-rosetta-0824,5.861000000000001,4.272891,OnionNet-2
3rr4-rosetta-0529,5.829,4.300286,OnionNet-2
3rr4-rosetta-0055,5.971,4.497898,OnionNet-2
3rr4-rosetta-0047,5.812,4.347476,OnionNet-2
3rr4-rosetta-0829,5.933,4.484806,OnionNet-2
3rr4-rosetta-0914,5.506,4.240185,OnionNet-2
3rr4-rosetta-0201,5.17,4.167816,OnionNet-2
3rr4-rosetta-0592,6.375,4.159616,OnionNet-2
3rr4-rosetta-0245,5.937,4.332068,OnionNet-2
3rr4-rosetta-0293,4.3469999999999995,5.177942,OnionNet-2
3rr4-rosetta-0992,6.172999999999999,4.233825,OnionNet-2
3rr4-rosetta-0142,5.406000000000001,4.310438,OnionNet-2
3rr4-rosetta-0681,5.752000000000001,4.217513,OnionNet-2
3rr4-rosetta-0578,5.957999999999999,4.264155,OnionNet-2
3rr4-rosetta-0513,5.665,4.247119,OnionNet-2
3rr4-rosetta-0386,5.5120000000000005,4.14381,OnionNet-2
3rr4-rosetta-0520,4.206,4.248818,OnionNet-2
3rr4-rosetta-0089,5.687,4.234146,OnionNet-2
3rr4-rosetta-0426,6.047999999999999,4.320265,OnionNet-2
3rr4-rosetta-0222,5.835,4.247746,OnionNet-2
3rr4-rosetta-0188,5.382000000000001,4.327186,OnionNet-2
3rr4-rosetta-0526,4.494,4.190977,OnionNet-2
3rr4-rosetta-0706,5.539,4.36683,OnionNet-2
3rr4-rosetta-0024,4.833,5.187294,OnionNet-2
3rr4-rosetta-0699,6.193,4.304953,OnionNet-2
3rr4-rosetta-0439,5.507999999999999,4.259349,OnionNet-2
3rr4-rosetta-0837,5.675,4.478643,OnionNet-2
3rr4-rosetta-0016,4.976,4.312119,OnionNet-2
3rr4-rosetta-0183,5.472,4.215116,OnionNet-2
3rr4-rosetta-0108,5.05,4.585789,OnionNet-2
3rr4-rosetta-0797,5.551,4.353802,OnionNet-2
3rr4-rosetta-0417,5.524,4.400421,OnionNet-2
3rr4-rosetta-0178,6.058,4.342421,OnionNet-2
3rr4-boltz2,5.99,3.981013,OnionNet-2
1o3f-crystal,7.656000000000001,4.044873,OnionNet-2
1o3f-gnina-0044,5.683,4.084517,OnionNet-2
1o3f-gnina-0080,6.03,3.92865,OnionNet-2
1o3f-gnina-0081,6.042000000000001,3.877101,OnionNet-2
1o3f-gnina-0090,5.372000000000001,3.89592,OnionNet-2
1o3f-gnina-0061,5.667000000000001,3.823333,OnionNet-2
1o3f-gnina-0031,5.598,4.357298,OnionNet-2
1o3f-gnina-0050,5.646,4.061443,OnionNet-2
1o3f-gnina-0056,5.977,3.883625,OnionNet-2
1o3f-gnina-0089,6.289,4.124587,OnionNet-2
1o3f-gnina-0051,5.678999999999999,4.219065,OnionNet-2
1o3f-gnina-0065,5.985,4.211351,OnionNet-2
1o3f-gnina-0096,5.984,4.126128,OnionNet-2
1o3f-gnina-0037,5.506,4.844185,OnionNet-2
1o3f-gnina-0072,5.767,4.090858,OnionNet-2
1o3f-gnina-0063,5.9270000000000005,4.099052,OnionNet-2
1o3f-gnina-0006,6.407,4.093833,OnionNet-2
1o3f-gnina-0054,5.277,4.012319,OnionNet-2
1o3f-gnina-0070,5.696000000000001,4.050201,OnionNet-2
1o3f-gnina-0038,5.513,4.127949,OnionNet-2
1o3f-gnina-0047,5.735,3.936022,OnionNet-2
1o3f-gnina-0012,6.138,4.502935,OnionNet-2
1o3f-gnina-0010,5.84,3.964051,OnionNet-2
1o3f-gnina-0066,6.712999999999999,4.070674,OnionNet-2
1o3f-gnina-0092,6.617999999999999,4.224702,OnionNet-2
1o3f-gnina-0073,5.205,4.266583,OnionNet-2
1o3f-gnina-0032,5.105,3.813655,OnionNet-2
1o3f-gnina-0025,6.1579999999999995,3.949831,OnionNet-2
1o3f-gnina-0042,6.039,4.67782,OnionNet-2
1o3f-gnina-0033,5.7829999999999995,4.09261,OnionNet-2
1o3f-gnina-0026,6.212999999999999,3.885142,OnionNet-2
1o3f-gnina-0002,7.03,3.921653,OnionNet-2
1o3f-gnina-0045,5.834,4.133808,OnionNet-2
1o3f-gnina-0035,5.891,3.980236,OnionNet-2
1o3f-gnina-0004,7.002000000000001,3.980616,OnionNet-2
1o3f-gnina-0069,5.5729999999999995,4.054992,OnionNet-2
1o3f-gnina-0074,5.57,4.333136,OnionNet-2
1o3f-gnina-0003,7.035,3.96074,OnionNet-2
1o3f-gnina-0008,6.917000000000001,4.279591,OnionNet-2
1o3f-gnina-0048,6.055,3.86741,OnionNet-2
1o3f-gnina-0028,6.605,3.969017,OnionNet-2
1o3f-gnina-0027,5.99,3.996293,OnionNet-2
1o3f-gnina-0024,5.785,4.026474,OnionNet-2
1o3f-gnina-0052,6.354,4.622353,OnionNet-2
1o3f-gnina-0022,6.917000000000001,3.994985,OnionNet-2
1o3f-gnina-0075,5.434,4.147166,OnionNet-2
1o3f-gnina-0019,7.013,3.91618,OnionNet-2
1o3f-gnina-0078,4.75,3.823953,OnionNet-2
1o3f-gnina-0082,6.1579999999999995,3.816264,OnionNet-2
1o3f-gnina-0039,5.92,3.991125,OnionNet-2
1o3f-gnina-0007,6.874,4.03021,OnionNet-2
1o3f-gnina-0071,5.462000000000001,3.887969,OnionNet-2
1o3f-gnina-0097,5.1370000000000005,3.760872,OnionNet-2
1o3f-gnina-0076,5.834,4.023502,OnionNet-2
1o3f-gnina-0093,5.95,3.994934,OnionNet-2
1o3f-gnina-0011,7.055,3.88645,OnionNet-2
