name,prediction,t_prep_s,t_infer_s
1a30-rosetta-0661,5.1065083,0.077322,0.084998
1a30-rosetta-0663,5.3430586,0.07573,0.084998
1a30-rosetta-0678,6.410548,0.089118,0.084998
1a30-rosetta-0682,6.008336,0.103304,0.084998
1a30-rosetta-0684,5.9873333,0.08446,0.084998
1a30-rosetta-0694,5.6794147,0.075325,0.084998
1a30-rosetta-0697,5.6839867,0.083643,0.084998
1a30-rosetta-0709,6.745494,0.077013,0.084998
1a30-rosetta-0714,5.4708033,0.100159,0.084998
1a30-rosetta-0722,5.784319,0.098693,0.084998
1a30-rosetta-0733,6.166321,0.097124,0.084998
1a30-rosetta-0736,5.5013094,0.076958,0.084998
1a30-rosetta-0742,5.823435,0.096431,0.084998
1a30-rosetta-0773,5.7293673,0.083616,0.084998
1a30-rosetta-0778,5.3377895,0.075438,0.085114
1a30-rosetta-0779,5.530693,0.085717,0.085114
1a30-rosetta-0791,5.0544767,0.098292,0.085114
1a30-rosetta-0808,5.725312,0.093087,0.085114
1a30-rosetta-0821,5.841483,0.099332,0.085114
1a30-rosetta-0822,5.8877087,0.089289,0.085114
1a30-rosetta-0832,5.2728186,0.099111,0.085114
1a30-rosetta-0845,5.535984,0.075271,0.085114
1a30-rosetta-0860,5.5792,0.077623,0.085114
1a30-rosetta-0882,5.7615128,0.108595,0.085114
1a30-rosetta-0884,6.855625,0.09861,0.085114
1a30-rosetta-0896,5.3622775,0.100019,0.085114
1a30-rosetta-0907,6.4139214,0.114741,0.085114
1a30-rosetta-0911,6.077917,0.106377,0.085114
1a30-rosetta-0927,6.744507,0.093902,0.085114
1a30-rosetta-0936,6.0185194,0.102662,0.085114
1a30-rosetta-0937,6.077242,0.102229,0.085114
1a30-rosetta-0943,7.073656,0.091563,0.085114
1a30-rosetta-0955,5.7909517,0.076716,0.085114
1a30-rosetta-0957,5.9166746,0.091093,0.085114
1a30-rosetta-0986,5.656391,0.099162,0.085098
1a30-rosetta-0988,6.588069,0.09353,0.085098
1bcu-boltz,5.3185215,0.045455,0.085098
1bcu-crystal,6.8476925,0.029557,0.085098
1bcu-gnina-0001,6.628994,0.148786,0.085098
1bcu-gnina-0002,6.548952,0.171809,0.085098
1bcu-gnina-0003,5.8092213,0.146463,0.085098
1bcu-gnina-0004,5.937278,0.166345,0.085098
1bcu-gnina-0005,6.6645765,0.157352,0.085098
1bcu-gnina-0006,5.9431715,0.147445,0.085098
1bcu-gnina-0007,6.0810175,0.166217,0.085098
1bcu-gnina-0008,5.957266,0.156304,0.085098
1bcu-gnina-0009,6.228036,0.15665,0.085098
1bcu-gnina-0010,6.1925106,0.147189,0.085098
1bcu-gnina-0011,6.1529007,0.148762,0.085098
1bcu-gnina-0012,6.0720606,0.148304,0.085098
1bcu-gnina-0013,6.780305,0.149334,0.085098
1bcu-gnina-0014,6.44458,0.1535,0.085098
1bcu-gnina-0015,5.9933033,0.158401,0.085098
1bcu-gnina-0016,5.5782547,0.155525,0.085098
1bcu-gnina-0017,5.8641644,0.147892,0.085232
1bcu-gnina-0018,6.0564194,0.147274,0.085232
1bcu-gnina-0019,6.048457,0.146673,0.085232
1bcu-gnina-0020,5.6945953,0.155768,0.085232
1bcu-gnina-0021,6.940913,0.161561,0.085232
1bcu-gnina-0022,5.940634,0.155509,0.085232
1bcu-gnina-0023,5.797947,0.158336,0.085232
1bcu-gnina-0024,5.2912807,0.161626,0.085232
1bcu-gnina-0025,6.010623,0.158945,0.085232
1bcu-gnina-0026,5.289777,0.148063,0.085232
1bcu-gnina-0027,6.3252134,0.149275,0.085232
1bcu-gnina-0028,6.926733,0.148776,0.085232
1bcu-gnina-0029,6.3852663,0.157461,0.085232
1bcu-gnina-0030,6.206135,0.158757,0.085232
1bcu-gnina-0031,6.298374,0.155854,0.085232
1bcu-gnina-0032,6.8846607,0.166341,0.085232
1bcu-gnina-0033,6.294039,0.312204,0.085232
1bcu-gnina-0034,6.2344217,0.147565,0.085232
1bcu-gnina-0035,6.667495,0.155224,0.085232
1bcu-gnina-0036,6.3103848,0.156818,0.085232
1bcu-gnina-0037,6.0885773,0.154386,0.085149
1bcu-gnina-0038,6.907098,0.164919,0.085149
1bcu-gnina-0039,5.758627,0.146252,0.085149
1bcu-gnina-0040,6.128212,0.148964,0.085149
1bcu-gnina-0041,6.5721493,0.156423,0.085149
1bcu-gnina-0042,6.046589,0.156007,0.085149
1bcu-gnina-0043,6.2593746,0.169973,0.085149
1bcu-gnina-0044,6.4455757,0.147187,0.085149
1bcu-gnina-0045,6.2668924,0.149092,0.085149
1bcu-gnina-0046,6.2588654,0.156872,0.085149
1bcu-gnina-0047,6.2323675,0.146906,0.085149
1bcu-gnina-0048,5.4187374,0.15764,0.085149
1bcu-gnina-0049,5.82712,0.154681,0.085149
1bcu-gnina-0050,5.6382246,0.165231,0.085149
1bcu-gnina-0051,6.006548,0.172315,0.085149
1bcu-gnina-0052,6.318968,0.149937,0.085149
1bcu-gnina-0053,5.44899,0.157342,0.085149
1bcu-gnina-0054,6.2347317,0.146855,0.085149
1bcu-gnina-0055,5.8475885,0.173604,0.085149
1bcu-gnina-0056,5.654581,0.171571,0.085149
1bcu-gnina-0057,6.085701,0.146939,0.085048
1bcu-gnina-0058,6.2541494,0.158724,0.085048
1bcu-gnina-0059,6.6505775,0.176763,0.085048
1bcu-gnina-0060,6.7656736,0.156449,0.085048
1bcu-gnina-0061,6.2825584,0.155521,0.085048
1bcu-gnina-0062,6.437582,0.147586,0.085048
1bcu-gnina-0063,6.463663,0.159778,0.085048
1bcu-gnina-0064,6.3049393,0.157831,0.085048
1bcu-gnina-0065,5.2269135,0.155277,0.085048
1bcu-gnina-0066,5.9990683,0.156601,0.085048
1bcu-gnina-0067,5.731121,0.147676,0.085048
1bcu-gnina-0068,5.6713915,0.147677,0.085048
1bcu-gnina-0069,5.5670652,0.158005,0.085048
1bcu-gnina-0070,5.744297,0.147256,0.085048
1bcu-gnina-0071,6.172654,0.168424,0.085048
1bcu-gnina-0072,5.602397,0.162348,0.085048
1bcu-gnina-0073,5.9643774,0.191207,0.085048
1bcu-gnina-0074,5.85954,0.149635,0.085048
1bcu-gnina-0075,5.6746073,0.163199,0.085048
1bcu-gnina-0076,5.188092,0.164141,0.085048
1bcu-gnina-0077,5.516181,0.157776,0.085703
1bcu-gnina-0078,6.2736835,0.147233,0.085703
1bcu-gnina-0079,6.0688267,0.15233,0.085703
1bcu-gnina-0080,5.5548067,0.169631,0.085703
1bcu-gnina-0081,6.0999594,0.148097,0.085703
1bcu-gnina-0082,5.8119774,0.155176,0.085703
1bcu-gnina-0083,5.8263493,0.157132,0.085703
1bcu-gnina-0084,5.699044,0.155623,0.085703
1bcu-gnina-0085,5.9755716,0.157562,0.085703
1bcu-gnina-0086,5.4498043,0.173528,0.085703
1bcu-gnina-0087,5.9043646,0.149284,0.085703
1bcu-gnina-0088,6.390375,0.15728,0.085703
1bcu-gnina-0089,6.27859,0.164832,0.085703
1bcu-gnina-0090,5.667735,0.162879,0.085703
1bcu-gnina-0091,5.965003,0.159714,0.085703
1bcu-gnina-0092,5.6778364,0.162203,0.085703
1bcu-gnina-0093,6.3514366,0.154607,0.085703
1bcu-gnina-0094,6.031684,0.159215,0.085703
1bcu-gnina-0095,6.2923326,0.158615,0.085703
1bcu-gnina-0096,5.956871,0.147893,0.085703
1bcu-gnina-0097,6.2317314,0.158307,0.085597
1bcu-gnina-0098,5.815278,0.147878,0.085597
1bcu-gnina-0099,6.0523005,0.17412,0.085597
1bcu-gnina-0100,6.7243004,0.14863,0.085597
1bcu-rosetta-0006,6.4246635,0.161248,0.085597
1bcu-rosetta-0015,7.647419,0.156981,0.085597
1bcu-rosetta-0020,7.1592817,0.154673,0.085597
1bcu-rosetta-0024,6.5965147,0.154542,0.085597
1bcu-rosetta-0050,6.5632725,0.165129,0.085597
1bcu-rosetta-0055,7.016654,0.17868,0.085597
1bcu-rosetta-0057,6.143408,0.168286,0.085597
1bcu-rosetta-0059,6.2840853,0.170788,0.085597
1bcu-rosetta-0066,6.2231445,0.166127,0.085597
1bcu-rosetta-0070,6.637246,0.145467,0.085597
1bcu-rosetta-0078,6.4714823,0.158489,0.085597
1bcu-rosetta-0081,6.6374607,0.168296,0.085597
1bcu-rosetta-0094,6.5416927,0.156297,0.085597
1bcu-rosetta-0110,6.6461477,0.173876,0.085597
1bcu-rosetta-0112,6.6635475,0.154395,0.085597
1bcu-rosetta-0122,6.5608864,0.167513,0.085597
1bcu-rosetta-0124,6.7531986,0.156691,0.085479
1bcu-rosetta-0125,6.6648445,0.146779,0.085479
1bcu-rosetta-0128,6.7714815,0.147576,0.085479
1bcu-rosetta-0130,6.8007956,0.170211,0.085479
1bcu-rosetta-0150,6.5372133,0.159958,0.085479
1bcu-rosetta-0167,7.2473803,0.156191,0.085479
1bcu-rosetta-0169,6.6322565,0.148247,0.085479
1bcu-rosetta-0170,6.6729774,0.147921,0.085479
1bcu-rosetta-0172,6.7586966,0.144211,0.085479
1bcu-rosetta-0181,6.746456,0.155892,0.085479
1bcu-rosetta-0201,5.943118,0.160688,0.085479
1bcu-rosetta-0213,7.0931034,0.160324,0.085479
1bcu-rosetta-0218,6.72517,0.206734,0.085479
1bcu-rosetta-0219,9.695573,0.156092,0.085479
1bcu-rosetta-0234,6.7221155,0.146738,0.085479
1bcu-rosetta-0255,6.3324842,0.180882,0.085479
1bcu-rosetta-0282,6.5427427,0.164841,0.085479
1bcu-rosetta-0285,6.8961735,0.162588,0.085479
1bcu-rosetta-0296,6.6427097,0.157511,0.085479
1bcu-rosetta-0317,6.4021826,0.158275,0.085479
1bcu-rosetta-0319,6.7222958,0.148082,0.085187
1bcu-rosetta-0326,7.0375776,0.17104,0.085187
1bcu-rosetta-0327,6.1214285,0.17684,0.085187
1bcu-rosetta-0363,6.8989067,0.154403,0.085187
1bcu-rosetta-0371,6.345333,0.180057,0.085187
1bcu-rosetta-0378,6.4700546,0.146149,0.085187
1bcu-rosetta-0403,6.390483,0.166987,0.085187
1bcu-rosetta-0406,6.938328,0.169666,0.085187
1bcu-rosetta-0416,6.7199583,0.147355,0.085187
1bcu-rosetta-0435,6.631666,0.176335,0.085187
1bcu-rosetta-0447,6.547597,0.173003,0.085187
1bcu-rosetta-0456,6.5015955,0.146634,0.085187
1bcu-rosetta-0468,7.2238884,0.157593,0.085187
1bcu-rosetta-0469,6.9757023,0.154193,0.085187
1bcu-rosetta-0481,6.8978405,0.17364,0.085187
1bcu-rosetta-0489,7.0195837,0.146654,0.085187
1bcu-rosetta-0495,6.855551,0.169444,0.085187
1bcu-rosetta-0499,6.941449,0.176734,0.085187
1bcu-rosetta-0502,9.992449,0.165352,0.085187
1bcu-rosetta-0520,7.1823006,0.161209,0.085187
1bcu-rosetta-0529,6.488063,0.146434,0.085167
1bcu-rosetta-0538,6.850116,0.16561,0.085167
1bcu-rosetta-0547,6.5487576,0.164984,0.085167
1bcu-rosetta-0559,6.682747,0.152892,0.085167
1bcu-rosetta-0565,6.973962,0.165703,0.085167
1bcu-rosetta-0574,6.921898,0.145894,0.085167
1bcu-rosetta-0593,6.752118,0.166607,0.085167
1bcu-rosetta-0620,6.889283,0.155906,0.085167
1bcu-rosetta-0647,6.992833,0.159946,0.085167
1bcu-rosetta-0650,6.6781282,0.171677,0.085167
1bcu-rosetta-0668,6.4905987,0.150733,0.085167
1bcu-rosetta-0679,6.5291386,0.164062,0.085167
1bcu-rosetta-0690,6.8761225,0.148033,0.085167
1bcu-rosetta-0700,6.4138308,0.156578,0.085167
1bcu-rosetta-0706,6.421998,0.155695,0.085167
1bcu-rosetta-0731,6.5481834,0.157171,0.085167
1bcu-rosetta-0732,6.253624,0.17873,0.085167
1bcu-rosetta-0747,6.8302813,0.17372,0.085167
1bcu-rosetta-0753,6.4395103,0.147899,0.085167
1bcu-rosetta-0758,6.7079334,0.180514,0.085167
1bcu-rosetta-0769,7.144867,0.165579,0.085141
1bcu-rosetta-0775,6.6304235,0.148948,0.085141
1bcu-rosetta-0795,6.6903067,0.146224,0.085141
1bcu-rosetta-0818,6.6483974,0.15633,0.085141
1bcu-rosetta-0819,6.8876915,0.156666,0.085141
1bcu-rosetta-0829,6.6798353,0.15572,0.085141
1bcu-rosetta-0887,6.8871593,0.18379,0.085141
1bcu-rosetta-0897,6.456751,0.156435,0.085141
1bcu-rosetta-0904,6.520932,2.384707,0.085141
1bcu-rosetta-0907,6.598325,0.15613,0.085141
1bcu-rosetta-0915,6.2866745,0.166356,0.085141
1bcu-rosetta-0923,7.2933836,0.187471,0.085141
1bcu-rosetta-0927,6.4807043,0.339673,0.085141
1bcu-rosetta-0932,6.7622223,0.15493,0.085141
1bcu-rosetta-0940,6.551985,0.155728,0.085141
1bcu-rosetta-0946,6.3605957,0.158541,0.085141
1bcu-rosetta-0950,6.931698,0.157043,0.085141
1bcu-rosetta-0953,7.327549,0.156257,0.085141
1bcu-rosetta-0955,6.5198174,0.14693,0.085141
1bcu-rosetta-0961,6.5751867,0.160446,0.085141
1bcu-rosetta-0967,6.5410814,0.159822,0.085211
1bcu-rosetta-0978,6.9417744,0.157274,0.085211
1bcu-rosetta-0982,6.655712,0.155302,0.085211
1bcu-rosetta-0997,6.5773096,0.170111,0.085211
1bzc-boltz,6.8173294,0.128457,0.085211
1bzc-crystal,5.6580133,0.039047,0.085211
1bzc-gnina-0001,6.2920046,0.155676,0.085211
1bzc-gnina-0002,5.965004,0.156801,0.085211
1bzc-gnina-0003,6.1879873,0.174375,0.085211
1bzc-gnina-0004,5.8140097,0.156643,0.085211
1bzc-gnina-0005,5.8379145,0.160186,0.085211
1bzc-gnina-0006,5.8017445,0.179784,0.085211
1bzc-gnina-0007,5.684346,0.16371,0.085211
1bzc-gnina-0008,5.944216,0.156778,0.085211
1bzc-gnina-0009,5.8934956,0.157082,0.085211
1bzc-gnina-0010,6.3429585,0.158547,0.085211
1bzc-gnina-0011,6.0759706,0.165827,0.085211
1bzc-gnina-0012,6.0054197,0.164149,0.085211
1bzc-gnina-0013,6.242152,0.16594,0.085211
1bzc-gnina-0014,6.137659,0.168166,0.085211
1bzc-gnina-0015,5.9598207,0.156275,0.085175
1bzc-gnina-0016,6.186164,0.167377,0.085175
1bzc-gnina-0017,6.5553236,0.174573,0.085175
1bzc-gnina-0018,5.992939,0.1589,0.085175
1bzc-gnina-0019,6.131893,0.179714,0.085175
1bzc-gnina-0020,6.077793,0.165916,0.085175
1bzc-gnina-0021,5.8406363,0.165006,0.085175
1bzc-gnina-0022,6.220482,0.16998,0.085175
1bzc-gnina-0023,5.565404,0.15512,0.085175
1bzc-gnina-0024,6.066039,0.185217,0.085175
1bzc-gnina-0025,5.8710136,0.156747,0.085175
1bzc-gnina-0026,6.408206,0.157992,0.085175
1bzc-gnina-0027,6.361925,0.161496,0.085175
1bzc-gnina-0028,5.862216,0.16594,0.085175
1bzc-gnina-0029,6.082176,0.183993,0.085175
1bzc-gnina-0030,6.0121603,0.164858,0.085175
1bzc-gnina-0031,5.901492,0.185435,0.085175
1bzc-gnina-0032,6.1043863,0.178255,0.085175
1bzc-gnina-0033,6.4457216,0.159221,0.085175
1bzc-gnina-0034,6.0588083,0.169564,0.085175
1bzc-gnina-0035,5.2646317,0.164308,0.085203
1bzc-gnina-0036,5.97453,0.167177,0.085203
1bzc-gnina-0037,5.8864822,0.158489,0.085203
1bzc-gnina-0038,6.238738,0.156251,0.085203
1bzc-gnina-0039,6.1023474,0.175475,0.085203
1bzc-gnina-0040,6.3248854,0.173501,0.085203
1bzc-gnina-0041,6.5736847,0.172796,0.085203
1bzc-gnina-0042,5.785447,0.165915,0.085203
1bzc-gnina-0043,5.9416494,0.174667,0.085203
1bzc-gnina-0044,5.892703,0.176886,0.085203
1bzc-gnina-0045,5.801008,0.179506,0.085203
1bzc-gnina-0046,5.9904556,0.175858,0.085203
1bzc-gnina-0047,6.02178,0.222524,0.085203
1bzc-gnina-0048,6.222598,0.185359,0.085203
1bzc-gnina-0049,5.688035,0.179452,0.085203
1bzc-gnina-0050,5.656831,0.158933,0.085203
1bzc-gnina-0051,6.026952,0.171597,0.085203
1bzc-gnina-0052,6.191305,0.161444,0.085203
1bzc-gnina-0053,5.807459,0.16453,0.085203
1bzc-gnina-0054,5.99798,0.168909,0.085203
1bzc-gnina-0055,5.9269505,0.170556,0.085147
1bzc-gnina-0056,6.088065,0.166003,0.085147
1bzc-gnina-0057,6.1318016,0.183259,0.085147
1bzc-gnina-0058,5.8738194,0.157361,0.085147
1bzc-gnina-0059,6.1991673,0.16714,0.085147
1bzc-gnina-0060,6.0253315,0.165915,0.085147
1bzc-gnina-0061,5.888213,0.16619,0.085147
1bzc-gnina-0062,5.903243,0.165887,0.085147
1bzc-gnina-0063,6.1620026,0.158682,0.085147
1bzc-gnina-0064,5.8511934,0.160944,0.085147
1bzc-gnina-0065,5.925976,0.158049,0.085147
1bzc-gnina-0066,5.152543,0.156486,0.085147
1bzc-gnina-0067,6.3836603,0.165169,0.085147
1bzc-gnina-0068,5.814187,0.170065,0.085147
1bzc-gnina-0069,5.482542,0.158499,0.085147
1bzc-gnina-0070,5.7472143,0.16699,0.085147
1bzc-gnina-0071,5.9021254,0.183777,0.085147
1bzc-gnina-0072,6.027852,0.168825,0.085147
1bzc-gnina-0073,5.884658,0.164294,0.085147
1bzc-gnina-0074,6.1802387,0.169293,0.085147
1bzc-gnina-0075,6.1200457,0.166431,0.085313
1bzc-gnina-0076,6.5059795,0.157977,0.085313
1bzc-gnina-0077,5.782028,0.159945,0.085313
1bzc-gnina-0078,5.5620728,0.16609,0.085313
1bzc-gnina-0079,5.7848997,0.181873,0.085313
1bzc-gnina-0080,6.13958,0.158792,0.085313
1bzc-gnina-0081,5.9271536,0.157161,0.085313
1bzc-gnina-0082,6.3400736,0.16514,0.085313
1bzc-gnina-0083,6.1667137,0.16721,0.085313
1bzc-gnina-0084,5.4244585,0.182893,0.085313
1bzc-gnina-0085,5.8182898,0.170509,0.085313
1bzc-gnina-0086,5.709819,0.226901,0.085313
1bzc-gnina-0087,5.7759266,0.167997,0.085313
1bzc-gnina-0088,6.199462,0.167049,0.085313
1bzc-gnina-0089,5.923395,0.155305,0.085313
1bzc-gnina-0090,6.1267433,0.167705,0.085313
1bzc-gnina-0091,5.6410856,0.164956,0.085313
1bzc-gnina-0092,5.4962597,0.17357,0.085313
1bzc-gnina-0093,6.360093,0.167934,0.085313
1bzc-gnina-0094,5.5422096,0.156626,0.085313
1bzc-gnina-0095,5.7136097,0.159334,0.085145
1bzc-gnina-0096,5.7532263,0.188736,0.085145
1bzc-gnina-0097,6.018383,0.160956,0.085145
1bzc-gnina-0098,5.9872513,0.159376,0.085145
1bzc-gnina-0099,5.6392975,0.160812,0.085145
1bzc-gnina-0100,5.485072,0.155776,0.085145
1bzc-rosetta-0011,5.623645,0.157766,0.085145
1bzc-rosetta-0014,5.308695,0.190148,0.085145
1bzc-rosetta-0027,6.1748133,0.176587,0.085145
1bzc-rosetta-0041,7.1424713,0.160103,0.085145
1bzc-rosetta-0043,5.5527277,0.177111,0.085145
1bzc-rosetta-0051,5.0870256,0.159939,0.085145
1bzc-rosetta-0052,5.75939,0.157611,0.085145
1bzc-rosetta-0062,6.0229588,0.183762,0.085145
1bzc-rosetta-0066,5.163469,0.18,0.085145
1bzc-rosetta-0071,5.206812,0.177209,0.085145
1bzc-rosetta-0080,5.799225,0.192137,0.085145
1bzc-rosetta-0083,5.847638,0.190333,0.085145
1bzc-rosetta-0087,6.68917,0.182953,0.085145
1bzc-rosetta-0098,5.409401,0.165666,0.085145
1bzc-rosetta-0104,6.2256384,0.184457,0.085153
1bzc-rosetta-0128,6.267338,0.177362,0.085153
1bzc-rosetta-0146,6.2211323,0.18137,0.085153
1bzc-rosetta-0151,5.4304047,0.168688,0.085153
1bzc-rosetta-0152,5.626132,0.168724,0.085153
1bzc-rosetta-0154,6.335374,0.182046,0.085153
1bzc-rosetta-0168,5.649724,0.195248,0.085153
1bzc-rosetta-0173,6.1219254,0.195878,0.085153
1bzc-rosetta-0175,5.5783424,0.170342,0.085153
1bzc-rosetta-0182,6.350073,0.159647,0.085153
1bzc-rosetta-0192,6.426441,0.175283,0.085153
1bzc-rosetta-0203,5.9536934,0.180257,0.085153
1bzc-rosetta-0206,6.3628235,0.165096,0.085153
1bzc-rosetta-0211,5.952793,0.165941,0.085153
1bzc-rosetta-0215,5.4539413,0.155678,0.085153
1bzc-rosetta-0225,6.489195,0.166719,0.085153
1bzc-rosetta-0243,7.3871574,0.189198,0.085153
1bzc-rosetta-0248,5.623907,0.247885,0.085153
1bzc-rosetta-0279,5.780181,0.183496,0.085153
1bzc-rosetta-0290,5.2122774,0.155749,0.085153
1bzc-rosetta-0297,5.950918,0.190473,0.085104
1bzc-rosetta-0308,6.731984,0.173501,0.085104
1bzc-rosetta-0310,5.725563,0.19365,0.085104
1bzc-rosetta-0315,6.2015877,0.200024,0.085104
1bzc-rosetta-0324,5.8330355,0.165021,0.085104
1bzc-rosetta-0327,6.0169077,0.172311,0.085104
1bzc-rosetta-0331,6.5592566,0.163525,0.085104
1bzc-rosetta-0339,6.4623594,0.172196,0.085104
1bzc-rosetta-0342,6.4239445,0.164853,0.085104
1bzc-rosetta-0349,5.330926,0.166016,0.085104
1bzc-rosetta-0351,5.9063854,0.163609,0.085104
1bzc-rosetta-0390,6.5234547,0.184467,0.085104
1bzc-rosetta-0391,5.7885904,0.16922,0.085104
1bzc-rosetta-0413,5.8746166,0.159282,0.085104
1bzc-rosetta-0420,6.302209,0.159369,0.085104
1bzc-rosetta-0422,5.6799364,0.173055,0.085104
1bzc-rosetta-0424,6.1262693,0.157951,0.085104
1bzc-rosetta-0450,5.422969,0.166879,0.085104
1bzc-rosetta-0454,5.919527,0.157762,0.085104
1bzc-rosetta-0457,6.0529375,0.175194,0.085104
1bzc-rosetta-0465,6.5778913,0.171284,0.085116
1bzc-rosetta-0479,6.1857405,0.180014,0.085116
1bzc-rosetta-0520,5.765604,0.200517,0.085116
1bzc-rosetta-0527,6.0104036,0.194635,0.085116
1bzc-rosetta-0535,5.7452917,0.186379,0.085116
1bzc-rosetta-0542,5.9531975,0.156471,0.085116
1bzc-rosetta-0544,7.318553,0.17694,0.085116
1bzc-rosetta-0557,6.091749,0.156029,0.085116
1bzc-rosetta-0568,5.9097366,0.180784,0.085116
1bzc-rosetta-0581,6.1126986,0.183118,0.085116
1bzc-rosetta-0591,6.1253166,0.166462,0.085116
1bzc-rosetta-0596,5.9477215,0.178458,0.085116
1bzc-rosetta-0625,6.2891483,0.180723,0.085116
1bzc-rosetta-0626,5.270234,0.178452,0.085116
1bzc-rosetta-0629,6.245266,0.166685,0.085116
1bzc-rosetta-0659,5.9376383,0.159478,0.085116
1bzc-rosetta-0664,4.8943615,0.157407,0.085116
1bzc-rosetta-0680,5.886348,0.174558,0.085116
1bzc-rosetta-0682,5.742426,0.165456,0.085116
1bzc-rosetta-0683,6.184821,0.194312,0.085116
1bzc-rosetta-0700,6.01324,0.174369,0.085113
1bzc-rosetta-0702,5.89754,0.159426,0.085113
1bzc-rosetta-0705,5.7553186,0.166575,0.085113
1bzc-rosetta-0709,6.061982,0.16295,0.085113
1bzc-rosetta-0743,5.8357353,0.166175,0.085113
1bzc-rosetta-0765,5.303731,0.16939,0.085113
1bzc-rosetta-0770,6.2585516,0.194556,0.085113
1bzc-rosetta-0772,5.9877977,0.164969,0.085113
1bzc-rosetta-0785,5.897543,0.191018,0.085113
1bzc-rosetta-0803,6.3581333,0.195217,0.085113
1bzc-rosetta-0819,6.353876,0.1658,0.085113
1bzc-rosetta-0828,6.3821163,0.158405,0.085113
1bzc-rosetta-0846,5.6149673,0.162261,0.085113
1bzc-rosetta-0848,5.844448,0.17158,0.085113
1bzc-rosetta-0858,6.0848484,0.166069,0.085113
1bzc-rosetta-0901,6.3111887,0.168675,0.085113
1bzc-rosetta-0902,5.445302,0.165226,0.085113
1bzc-rosetta-0911,5.8782625,0.181365,0.085113
1bzc-rosetta-0912,5.9778957,0.189125,0.085113
1bzc-rosetta-0926,5.6430492,0.171688,0.085113
