pdb_id,lig_id,prot_path,lig_path,pocket_path,gnina_archive,rosetta_archive,boltz_yaml
3KGP,4AZ,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kgp/3kgp_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kgp/3kgp_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kgp/3kgp_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kgp/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kgp/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kgp/3kgp_boltz2.yaml
3FCQ,M3S,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3fcq/3fcq_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3fcq/3fcq_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3fcq/3fcq_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3fcq/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3fcq/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3fcq/3fcq_boltz2.yaml
3LKA,M4S,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3lka/3lka_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3lka/3lka_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3lka/3lka_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3lka/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3lka/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3lka/3lka_boltz2.yaml
3ZT2,ZT2,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zt2/3zt2_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zt2/3zt2_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zt2/3zt2_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zt2/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zt2/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zt2/3zt2_boltz2.yaml
3UDH,091,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3udh/3udh_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3udh/3udh_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3udh/3udh_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3udh/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3udh/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3udh/3udh_boltz2.yaml
3G31,GF1,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g31/3g31_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g31/3g31_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g31/3g31_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g31/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g31/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g31/3g31_boltz2.yaml
4LLX,5ZE,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4llx/4llx_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4llx/4llx_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4llx/4llx_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4llx/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4llx/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4llx/4llx_boltz2.yaml
4U4S,3C1,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4u4s/4u4s_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4u4s/4u4s_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4u4s/4u4s_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4u4s/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4u4s/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4u4s/4u4s_boltz2.yaml
4OWM,3F0,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4owm/4owm_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4owm/4owm_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4owm/4owm_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4owm/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4owm/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4owm/4owm_boltz2.yaml
5ABA,UL7,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5aba/5aba_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5aba/5aba_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5aba/5aba_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5aba/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5aba/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5aba/5aba_boltz2.yaml
2XDL,2DL,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2xdl/2xdl_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2xdl/2xdl_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2xdl/2xdl_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2xdl/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2xdl/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2xdl/2xdl_boltz2.yaml
4KZ6,ZB6,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4kz6/4kz6_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4kz6/4kz6_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4kz6/4kz6_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4kz6/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4kz6/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4kz6/4kz6_boltz2.yaml
2YMD,SRO,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2ymd/2ymd_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2ymd/2ymd_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2ymd/2ymd_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2ymd/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2ymd/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2ymd/2ymd_boltz2.yaml
3ARU,PNX,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3aru/3aru_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3aru/3aru_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3aru/3aru_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3aru/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3aru/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3aru/3aru_boltz2.yaml
1BCU,PRL,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1bcu/1bcu_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1bcu/1bcu_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1bcu/1bcu_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1bcu/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1bcu/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1bcu/1bcu_boltz2.yaml
3ZSX,N44,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zsx/3zsx_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zsx/3zsx_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zsx/3zsx_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zsx/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zsx/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3zsx/3zsx_boltz2.yaml
4DDH,MS0,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddh/4ddh_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddh/4ddh_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddh/4ddh_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddh/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddh/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ddh/4ddh_boltz2.yaml
4EKY,D1J,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4eky/4eky_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4eky/4eky_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4eky/4eky_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4eky/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4eky/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4eky/4eky_boltz2.yaml
4ABG,91B,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4abg/4abg_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4abg/4abg_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4abg/4abg_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4abg/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4abg/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4abg/4abg_boltz2.yaml
5A7B,KMN,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/5a7b_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/5a7b_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/5a7b_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/5a7b/5a7b_boltz2.yaml
3DX1,YHO,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dx1/3dx1_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dx1/3dx1_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dx1/3dx1_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dx1/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dx1/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3dx1/3dx1_boltz2.yaml
4BKT,QD0,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4bkt/4bkt_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4bkt/4bkt_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4bkt/4bkt_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4bkt/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4bkt/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4bkt/4bkt_boltz2.yaml
2V00,V15,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2v00/2v00_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2v00/2v00_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2v00/2v00_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2v00/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2v00/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2v00/2v00_boltz2.yaml
4CIG,X0P,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cig/4cig_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cig/4cig_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cig/4cig_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cig/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cig/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cig/4cig_boltz2.yaml
3N7A,FA1,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3n7a/3n7a_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3n7a/3n7a_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3n7a/3n7a_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3n7a/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3n7a/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3n7a/3n7a_boltz2.yaml
3D6Q,U3S,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3d6q/3d6q_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3d6q/3d6q_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3d6q/3d6q_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3d6q/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3d6q/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3d6q/3d6q_boltz2.yaml
2HB1,512,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2hb1/2hb1_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2hb1/2hb1_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2hb1/2hb1_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2hb1/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2hb1/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2hb1/2hb1_boltz2.yaml
3TWP,SAL,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3twp/3twp_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3twp/3twp_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3twp/3twp_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3twp/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3twp/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3twp/3twp_boltz2.yaml
4AGN,NXG,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4agn/4agn_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4agn/4agn_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4agn/4agn_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4agn/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4agn/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4agn/4agn_boltz2.yaml
1C5Z,BAM,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1c5z/1c5z_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1c5z/1c5z_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1c5z/1c5z_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1c5z/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1c5z/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/1c5z/1c5z_boltz2.yaml
3NQ9,OCA,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3nq9/3nq9_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3nq9/3nq9_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3nq9/3nq9_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3nq9/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3nq9/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3nq9/3nq9_boltz2.yaml
2W66,HQ6,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2w66/2w66_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2w66/2w66_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2w66/2w66_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2w66/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2w66/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/2w66/2w66_boltz2.yaml
3KWA,SPM,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kwa/3kwa_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kwa/3kwa_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kwa/3kwa_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kwa/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kwa/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3kwa/3kwa_boltz2.yaml
3G2N,OAK,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2n/3g2n_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2n/3g2n_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2n/3g2n_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2n/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2n/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3g2n/3g2n_boltz2.yaml
4CR9,OTW,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cr9/4cr9_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cr9/4cr9_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cr9/4cr9_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cr9/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cr9/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4cr9/4cr9_boltz2.yaml
4IH5,12R,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/4ih5_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/4ih5_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/4ih5_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4ih5/4ih5_boltz2.yaml
4DE2,DN3,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4de2/4de2_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4de2/4de2_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4de2/4de2_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4de2/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4de2/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/4de2/4de2_boltz2.yaml
3OZT,OZZ,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ozt/3ozt_protein.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ozt/3ozt_ligand.sdf,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ozt/3ozt_pocket.pdb,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ozt/gnina.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ozt/rosetta.tar.gz,/mnt/research/woldring_lab/Members/Eaves/plip-plop/data/3ozt/3ozt_boltz2.yaml
