dataset,pdb_id,resolution,release_year,Kd_M,pK
core,3n86,1.90,2011,2.2999999999999996e-06,5.638272163982407
core,3n7a,2.00,2011,0.00019999999999999998,3.6989700043360187
core,3b1m,1.60,2011,3.3e-09,8.481486060122112
core,3rlr,1.70,2011,3.0000000000000004e-08,7.522878745280337
core,3oe4,1.49,2011,3.4e-08,7.468521082957745
core,2xys,1.91,2011,3.8e-08,7.42021640338319
core,3u9q,1.52,2011,4.1700000000000004e-05,4.379863945026242
core,3ozs,1.44,2011,4.645e-06,5.333014281670339
core,3pww,1.22,2011,4.8000000000000006e-08,7.318758762624412
core,3ozt,1.48,2011,7.49e-05,4.125518182300533
core,3udh,1.70,2012,0.0014,2.853871964321762
core,4agn,1.60,2012,0.000107,3.9706162223147903
core,3zt2,1.70,2012,0.0014349999999999999,2.843148098929989
core,4agp,1.50,2012,2.06e-05,4.686132779630847
core,4abg,1.52,2012,0.000271,3.567030709125594
core,3uo4,2.45,2012,2.99e-07,6.52432881167557
core,3up2,2.30,2012,4e-08,7.3979400086720375
core,3zsx,1.95,2012,0.0005189999999999999,3.2848326421515424
core,3tsk,2.00,2012,6.7e-08,7.173925197299173
core,2ymd,1.96,2012,0.0006929999999999999,3.1592667653881934
core,3zso,1.75,2012,7.599999999999999e-06,5.119186407719209
core,4eo8,1.80,2012,7.000000000000001e-09,8.154901959985743
core,4agq,1.42,2012,9.699999999999999e-06,5.013228265733755
core,3utu,1.55,2012,1.2e-11,10.920818753952375
core,4gid,2.00,2012,1.7000000000000003e-11,10.769551078621726
core,4djv,1.73,2012,1.8999999999999998e-07,6.721246399047171
core,2yfe,2.00,2012,2.3599999999999997e-07,6.627087997029894
core,4ea2,2.05,2012,3.6e-07,6.443697499232713
core,4de1,1.26,2012,1.1e-06,5.958607314841775
core,3qqs,1.97,2012,1.5e-06,5.823908740944319
core,4dld,2.00,2012,1.5e-06,5.823908740944319
core,4hge,2.30,2012,1.19e-08,7.924453038607469
core,3twp,1.83,2012,0.00011899999999999999,3.9244530386074694
core,3uuo,2.11,2012,1.1000000000000001e-08,7.958607314841775
core,3r88,1.73,2012,1.4999999999999999e-05,4.823908740944319
core,3uri,2.10,2012,1e-09,9.0
core,4f09,2.40,2012,2.0000000000000002e-07,6.698970004336019
core,4e5w,1.86,2012,2.2000000000000002e-08,7.657577319177793
core,3rr4,1.68,2012,2.805e-05,4.55206713440782
core,4de3,1.44,2012,3e-06,5.522878745280337
core,4eky,2.45,2012,0.000303,3.518557371497695
core,4e6q,1.95,2012,4.4000000000000005e-09,8.356547323513812
core,3syr,2.40,2012,7.9e-06,5.102372908709558
core,4de2,1.40,2012,7.599999999999999e-05,4.119186407719209
core,4ddh,2.07,2013,0.0005,3.3010299956639813
core,4j3l,2.09,2013,1.6e-08,7.795880017344075
core,4dli,1.91,2013,2.4e-06,5.619788758288394
core,4bkt,2.35,2013,0.00023999999999999998,3.619788758288394
core,4mme,2.50,2013,3.18e-07,6.497572880015567
core,4j21,1.93,2013,3.9000000000000005e-08,7.4089353929735005
core,4ddk,1.75,2013,0.0050999999999999995,2.2924298239020637
core,4ih7,2.30,2013,5.7999999999999995e-06,5.236572006437063
core,4kzq,2.25,2013,7.88e-07,6.103473782510445
core,4ih5,1.90,2013,7.8e-05,4.107905397309519
core,4gfm,2.30,2013,6e-08,7.221848749616356
core,4ivc,2.35,2013,1.0000000000000002e-10,10.0
core,4gr0,1.50,2013,2.8000000000000007e-10,9.55284196865778
core,4ivd,1.93,2013,3e-10,9.522878745280337
core,4jia,1.85,2013,6e-10,9.221848749616356
core,4k18,2.05,2013,1.1000000000000001e-09,8.958607314841775
core,4f3c,1.93,2013,1.5e-12,11.823908740944319
core,4ivb,1.90,2013,1.9e-09,8.721246399047171
core,4f9w,2.00,2013,1.14e-07,6.943095148663527
core,4j28,1.73,2013,2e-06,5.698970004336019
core,4k77,2.40,2013,2.3500000000000003e-07,6.628932137728263
core,4kzu,2.10,2013,3.13e-07,6.504455662453552
core,4f2w,2.00,2013,5e-12,11.301029995663981
core,4jfs,2.00,2013,5.4e-06,5.267606240177032
core,4jsz,1.90,2013,0.005,2.3010299956639813
core,4eor,2.20,2013,5.000000000000001e-07,6.301029995663981
core,4gkm,1.67,2013,6.799999999999999e-06,5.167491087293763
core,3zdg,2.48,2013,7.9e-08,7.102372908709558
core,4w9h,2.10,2014,1.85e-07,6.732828271596986
core,4m0y,1.70,2014,3.5e-07,6.455931955649724
core,4qac,2.10,2014,4.0000000000000007e-10,9.397940008672037
core,4w9i,2.40,2014,1.1e-06,5.958607314841775
core,4u4s,1.90,2014,0.0012,2.9208187539523753
core,4ogj,1.65,2014,1.64e-07,6.785156151952302
core,4lzs,2.20,2014,1.6e-05,4.795880017344075
core,4mgd,1.90,2014,2.019e-05,4.69486368105636
core,4cig,1.70,2014,0.000214,3.669586226650809
core,4w9c,2.20,2014,2.2199999999999998e-05,4.653647025549361
core,4wiv,1.56,2014,5.5e-07,6.259637310505756
core,4m0z,2.00,2014,6.4e-06,5.1938200260161125
core,4w9l,2.20,2014,9.519999999999999e-06,5.021363051615526
core,4ty7,2.09,2014,3e-10,9.522878745280337
core,4kz6,1.68,2014,0.0008,3.0969100130080562
core,4owm,1.99,2014,0.00109,2.962573502059376
core,4llx,1.75,2014,0.0013,2.886056647693163
core,4pcs,1.77,2014,1.4000000000000001e-08,7.853871964321762
core,4ciw,2.20,2014,1.4999999999999999e-05,4.823908740944319
core,4jxs,1.90,2014,1.8e-05,4.7447274948966935
core,3wtj,2.24,2015,2.9699999999999997e-07,6.527243550682788
core,5aba,1.62,2015,0.00104,2.9829666607012197
core,5a7b,1.40,2015,0.000271,3.567030709125594
core,4crc,1.60,2015,1.9e-09,8.721246399047171
core,4cra,1.80,2015,6e-08,7.221848749616356
core,3wz8,1.45,2015,1.5e-06,5.823908740944319
core,4twp,2.40,2015,1e-10,10.0
core,5c28,1.56,2015,2.2e-06,5.657577319177793
core,4qd6,2.45,2015,2.3e-09,8.638272163982407
core,4x6p,1.93,2015,5e-09,8.301029995663981
core,5dwr,2.00,2015,6e-12,11.221848749616356
core,5c2h,2.09,2015,8.2e-12,11.086186147616283
core,4cr9,1.70,2015,7.999999999999999e-05,4.096910013008056
core,4rfm,2.10,2015,9e-11,10.045757490560675
